*LW3BLACELLBCOLOR   Background colour for alternate BL rows A0025500000W3@P2100  N
*LW3BLACELLFCOLOR   BrowseList Alternate Cell Foregrnd ColorA0025500000W3@P2100  N
*LW3BLCELLBCOLOR    Background color for Browse list cells  A0025500000W3@P2100  N
*LW3BLCELLFCOLOR    Foreground color for browse list cells  A0025500000W3@P2100  N
*LW3BRWLSTMISC      Miscellaneous tags                      A0025500000W3@P2100  N
*LW3BRWLSTSELECT    Image for Browse list selection         A0025500000W3@P2100  N
*LW3BRWLSTSELIMAGE  Web Graphic Variable                    A0025500000W3@P2100  N
*LW3CLNTBKGND       Client Background image for L4W3        A0025500000W3@P2100  N
*LW3CLNTCOLOR       Background color for L4W3               A0025500000W3@P2100  N
*LW3COLHDGBCOLOR    Background color for column headings    A0025500000W3@P2100  N
*LW3COLHDGFCOLOR    Foreground color for column headings    A0025500000W3@P2100  N
*LW3CPYLOGO         Company Logo for L4W3                   A0025500000W3@P2100  N
*LW3HELPLOC         Web Graphic Variable                    A0025500000W3@P2100  N
*LW3IMGAMEX         Image for AMEX Credit Card              A0025500000W3@P2100  N
*LW3IMGCANCEL       Image for Cancel button                 A0025500000W3@P2100  N
*LW3IMGFBORDER      Image for Footer border                 A0025500000W3@P2100  N
*LW3IMGHBORDER      Image for Header border                 A0025500000W3@P2100  N
*LW3IMGHELP         Image for Help button                   A0025500000W3@P2100  N
*LW3IMGHOME         Image for Home Page                     A0025500000W3@P2100  N
*LW3IMGLANSA        Image for LANSA logo                    A0025500000W3@P2100  N
*LW3IMGMCARD        Image for Mastercard Credit Card        A0025500000W3@P2100  N
*LW3IMGMENU         Image for the Menu button               A0025500000W3@P2100  N
*LW3IMGMENUSELECT   Image for menu selection                A0025500000W3@P2100  N
*LW3IMGMESSAGES     Image for LANSA Messages                A0025500000W3@P2100  N
*LW3IMGMSGS         Image for Messages button               A0025500000W3@P2100  N
*LW3IMGOK           Image for OK button                     A0025500000W3@P2100  N
*LW3IMGVISA         Image for VISA Credit Card              A0025500000W3@P2100  N
*LW3MENUCOLOR       Color for Menu                          A0025500000W3@P2100  N
*LW3SESSIONID       Web session ID                          A0025500000W3@P2100  N
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
