*
* THIS FILE IS USED FOR TEXT MESSAGES USED DURING THE EXECUTION OF THE
* LANSA pour Windows PRODUCT. ALL LINES MUST BE OF THE FORM NNNN,<TEXT> UNLESS
* THEY HAVE AN "*" IN COLUMN 1 (THIS INDICATES A COMMENT LINE). THE COMPLETE
* TRANSLATION SHOULD FIT ON ONE LINE AND NOT EXCEED 256 BYTES IN LENGTH.
*
* DO NOT DUPLICATE OR CHANGE THE NNNN, (IE: NUMBER) PORTION OF ANY LINE.
* THE NUMBERS ASSIGNED DO NOT HAVE TO BE IN ORDER. NUMBERS ARE ASSIGNED
* ONLY BY ASPECT COMPUTING PTY LTD. NEW NUMBERS MAY BE ADDED FROM RELEASE
* TO RELEASE. COMMENT LINES SHOULD NOT BE TRANSLATED.
*
* THE VALUES >S<, >D<, >C< AND >L< INDICATE SUBSTITUTION AREAS IN THE MESSAGE.
* THESE MAY BE MOVED, BUT THEIR RELATIVE ORDER MUST NOT BE CHANGED WHEN THERE
* ARE MULTIPLE SUBSTITUTIONS IN THE SAME LINE.
*
* GENERALLY VALUES SURROUNDED BY DOUBLE QUOTES (EG "time()") REFER TO OPERATING
* SYSTEM FUNCTIONS THAT CANNOT BE TRANSLATED BECAUSE THEY ARE THE SAME IN ALL LANGUAGES.
*
*
*
*
*
* *******************************************************************************
* TEXT USED FOR BUTTONS, ETC. KEEP SHORT AND PRECISE - TRANSLATION IS RECOMMENDED
* *******************************************************************************
0348,OK
0352,Suspendre une file de travaux émulée
0356,Libérer une file de travaux émulée
0361,Arrêter une file de travaux émulée
0364,Lancer une file de travaux émulée
0545,Historique des événements / statut du process
0718,Travail Batch >S< (>S<.>S<.>S< >S< >S<)
* ************************************************************
* MESSAGES USED BY START UP LOGIC - TRANSLATION IS RECOMMENDED
* ************************************************************
0001,Le nom de la partition doit être indiqué dans la commande X_RUN. Il ne peut pas être indiqué dans le fichier des profils.
0002,Code langue (LANG=), nom de process (PROC=) ou de formulaire (FORM=), identifiant de base/source de données (DBID=) et profil utilisateur (USER=) doivent être identifiés.
0991,Préciser le nom d'un Process (PROC=) ou le nom d'un Composant (FORM=).
0003,Le nom du fichier LDA n'est pas correctement formaté.
0004,Le nom du fichier des paramètres des process n'est pas correctement formaté.
0005,La lecture du fichier des profils >S< a généré une erreur.
0006,La fermeture du fichier des profils >S< a généré une erreur.
0007,Paramètre '>S<' trop court.
0008,>S< n'est pas un format de date système valide.
0009,>S< est un paramètre invalide.
1132,>S< est un paramètre réservé, utilisés sur la ligne de commande MSI
1135,>S< est une valeur incorrecte pour le paramètre >S<
0278,L'utilisation des paramètres DBID=>S< et DBII=>S< génère un conflit. Vous ne pouvez utiliser qu'une base de données SQL/DB2 à la fois.
0279,Erreur pendant la connexion automatique au serveur de nom LU >S<. Consultez les messages suivants et les valeurs des paramètres PSxx= .
0337,Le paramètre HSKC=Y de la commande X_RUN a été utilisé, mais le fichier >S< n'a pas été trouvé / ouvert.
0341,Le nom de table demandé dans l'export système *SYSEXPORT >S< est invalide ou inconnu.
0342,La demande du process ">S<" est invalide ou inconnue.
0350,Soit le paramètre requis QNAM= de X_RUN n'a pas été trouvé, soit, le nom de file d'attente >S< n'est pas correctement défini dans le fichier >S<, soit, le fichier >S< n'a pas été trouvé / ouvert dans le répertoire.
0351,Erreur pendant >S< vers / à partir du fichier signal >S<. Le nom précisé pour le paramètre QNAM= est sans doute invalide ou le chemin précisé dans le fichier x_jobq.dat est incorrect.
0353,Demande de suspension la file d'attente de travaux émulée >S< enregistrée.
0354,Une demande de suspension la file d'attente de travaux émulée >S< est déjà en attente.
0355,Une demande en attente de suspension la file d'attente de travaux émulée >S< a été supprimée.
0357,Demande de libération de la file d'attente de travaux émulée >S< enregistrée.
0358,Une demande de libération de la file d'attente de travaux émulée >S< est déjà en attente.
0359,Une demande en attente de libération de la file d'attente de travaux émulée >S< a été supprimée.
0360,Une demande en attente d'arrêt de la file d'attente de travaux émulée >S< a été supprimée.
0362,Demande d'arrêt de la file d'attente de travaux émulée >S< enregistrée.
0363,Une demande d'arrêt de la file d'attente de travaux émulée >S< est déjà en attente.
0365,Ouverture et verrouillage de la file de travaux >S< impossibles. Les valeurs des paramètres QPTH= ou QNAM= sont erronés ou un autre process est déjà attaché à la file de travaux.
0366,File d'attente de travaux émulée à partir de >S< arrêtée normalement.
0367,File d'attente de travaux émulée à partir de >S< arrêtée anormalement
0368,Le traitement via le sous-système émulé de la file de travaux >S< (utilisant le répertoire >S<) démarré avec succès.
0369,File d'attente de travaux libérée
0370,File d'attente de travaux non libérée car non suspendue au préalable
0371,File d'attente de travaux déjà suspendue
0372,File d'attente de travaux suspendue
0373,Le job >S< soumis par >S</>S</>S< le >S< à >S< a démarré
0374,Le job >S< soumis par >S</>S</>S< le >S< à >S< s'est terminé
0375,Le job >S< soumis par >S</>S</>S< le >S< à >S< s'est terminé avec des erreurs détectées.
0395,Erreur inattendue rencontrée pendant le chargement du SGBD à partir de >S<.
0396,Le type de base de donnée >S< n'est pas défini dans les paramètres du fichier SGBD >S< et ne peut donc pas être utilisé.
0399,Le process >S< n'est pas exécutable avec la version >S< de LANSA. Vous devez régénérer et recompiler ce process avant de pouvoir l'exécuter.
0599,>S< est au niveau >L< et >S< est au niveau >L<. Votre environnement d'exécution LANSA est incohérent. Vous devez probablement réinstaller LANSA.
0600,>S< a été construit au niveau >L< mais >S< est à un niveau antérieur (>L<). Vous devez installer une version plus récente de LANSA pour utiliser cet Objet.
0651,Erreur pendant la connexion automatique au serveur de nom LU >S<. Vérifiez tous les messages suivants et les valeurs de tous les paramètres ASxx= .
0793,La fonction >S< du process >S< doit être régénérée et recompilée avant de pouvoir être utilisée sur le Web.
0986,Le fichier >S< a été construit avant la version 10.7 et doit être régénéré avant de pouvoir être utilisé par des objets RDMLX utilisant des zones RDMLX ou des extensions du langage.
0828,Impossible de choisir une configuration correcte pour ODBA= car DBUT=>S< et DBIT=>S< sont incompatibles.
* This message is used to handle exceptions. e.g. access violations. The exception is put on the front of the message and the X_ERR.LOG file location is put on the end.
0885,>S< devrait être reporté au support dès que possible en fournissant les fichiers >S< et >S< du répertoire >S<.
1046,Le serveur de nom LU ">S<" n'a pas toutes les EPCs nécessaires installées. Les EPCs suivantes doivent être installées sur le serveur :
1047,Vérification impossible du niveau d'EPC sur le serveur de nom LU ">S<". Vérifiez que la version du serveur est supérieure ou égale à la version du client.
1077,Le système est en cours d'initialisation. Réessayez ultérieurement.
1080,Impossible de vérifier le numéro de build du serveur de nom LU ">S<". Vérifiez que la version de LANSA sur le serveur est la égale ou supérieure à la version sur le client.
1081,Connexion au serveur de nom LU ">S<" non autorisée car la version de LANSA du serveur (build >L<) est plus ancienne que les clients (build >L<). Mettez à niveau la version de LANSA sur votre serveur ou utilisez un serveur différent.
1087,La redirection automatique de tous les fichiers vers le serveur de nom LU ">S<" n'est pas autorisée car une autre connexion ">S<" a déjà des fichiers redirigés.
1105,Points de sauvegarde activés(DBSP=Y). Vous devez utiliser une connexion unique (x_dbmenv.dat USE_SINGLE_CONNECTION=YES) et des curseurs de serveur (DBCT ou DBCC non égal au défaut ODBC).
1106,Points de sauvegarde désactivés (DBSP=N). Vous ne devez pas utiliser à la fois un ensemble de résultat par défaut (DBCC et DBCT égal au défaut ODBC) et une connexion unique (x_dbmenv.dat USE_SINGLE_CONNECTION=YES).
1116,Erreur fatale, arrêt de génération de la page Web.
1140,Impossible de récupérer le répertoire du serveur de nom LU ">S<".
* *******************************************************************************
* MESSAGES USED BY X_PDF (PLATFORM DEPENDENT FUNCTIONS) - TRANSLATION IS OPTIONAL
* *******************************************************************************
0010,Type de vecteur incompatible (zone) rencontré pendant une opération au niveau du vecteur dans cette routine.
0011,Division par zéro.
0012,Opération mathématique invalide ou inconnue.
0014,"DosGetInfoBlocks" (OS/2) ou "GetCurrentTask" (Windows) n'a pas pu retourner le numéro de travail.
0015,"getpid" n'a pas pu retourner l'identifiant du process(erreur Linux).
0633,Erreur inattendue (identifiant >L<) pendant l'opération >S< sur l'objet >S<.   
0016,La taille du RRNO dépasse la valeur X_MAXIMUM_DIGITS.
0017,Erreur de la fonction C "time()".
0018,Code retour de la fonction C "time()".
0019,Erreur de la fonction "DosOpen". >S<
0020,Code retour de la fonction "DosOpen().
0021,Erreur de la fonction Linux "Open". >S<
0022,Code retour de la fonction Linux "Open()".
0023,Erreur interne. La longueur du segment mémoire demandé est >L<. Fichier C >S<, Ligne >L<.
0024,Le système d'exploitation n'a pas pu allouer la mémoire demandée.
0025,Le système d'exploitation n'a pas pu réallouer la mémoire demandée.
0026,Débordement de l'espace de travail. Plus de >D< fichiers ouverts.
0027,Type de nom '>C<' incorrect. Le nom du process a été utilisé.
0028,Erreur pendant la création d'un fichier temporaire.
0029,Erreur >L< pendant la fermeture d'un fichier temporaire.
0030,Erreur pendant la libération de la DLL/d'objet partagé >S<.
0031,Erreur de libération de l'OAM (Object Access Module).
0032,Erreur pendant l'écriture du fichier temporaire.
0033,Erreur pendant la lecture du fichier temporaire.
0034,Erreur pendant la suppression du fichier temporaire.
1089,Erreur pendant la création d'un fichier temporaire >S<.
1090,Erreur pendant l'écriture du fichier temporaire >S<.
1091,Erreur pendant la lecture du fichier temporaire >S<.
1092,Erreur pendant la suppression du fichier temporaire >S<.
1093,Erreur >L< pendant la fermeture du fichier temporaire >S<.
1121,Répertoire temporaire >S< non accessible. Préciser un répertoire utilisable dans TPTH.
0035,Ouverture du fichier >S< impossible.
0036,Erreur pendant l'écriture des erreurs dans le fichier de log.
0037,Erreur pendant de fermeture du fichier de log.
0038,Erreur pendant la demande à la procédure adresse >S<.
0039,Impossible de charger / trouver >S< >S<. Le paramètre DRIV= est-il correct ? Devrait-il être DRIV=D ?
0040,Chemin d'accès à l'objet non trouvé.
0041,Impossible de charger >S< >S<. Erreur numéro = >D<.
0042,Impossible de charger / trouver >S< >S<.
0043,Fichier non trouvé.
0044,Erreur de l'opération Linux "fork" au lancement du process.
0045,Le système d'exploitation n'a pas pu démarrer la session.
0046,Longueur de chaîne de caractères inférieure à zéro.
0047,La fonction / l'opération demandée n'est pas disponible sous Linux/Windows 3.1.
0048,L'enregistrement à envoyer est plus long que le tampon de communication.
0049,L'enregistrement reçu est plus long que le tampon de communication.
0275,Erreur Système pendant le chargement de la DLL / l'objet partagé SGBD >S<.
0280,A l'utilisation de la fonction intégrée numéro >L< une erreur système >L< a été interceptée. L'objet /le point d'entrée concerné était >S<.
0281,Pendant le déchargement de la fonction intégrée numéro >L< une erreur système >L< a été interceptée.
0420,Erreur système >L< pendant le chargement de la DLL >S< ou à la résolution de l'adresse du point d'entrée >S<.
0594,La fonction / l'opération demandée n'est disponible que sous Windows 2000/XP et Linux.
1020,Erreur de la fonction >S<().
* ********************************************************************
* RUN TIME MESSAGES ISSUED BY X_PDF LAYER - TRANSLATION IS RECOMMENDED
* ********************************************************************
0424,FATAL - La table de routage de fonction >S< n'a pas pu être ouverte.
0425,INFO  : >L< entrées valides de table de routage de fonction traitées.
0426,INFO  : >L< entrées invalides de table de routage de fonction  traitées.
0427,INFO  : >L< commentaires de table de routage de fonction traités.
0428,INFO  : Vérification de la table de routage de fonction démarrée le >S< à >S<.
0429,INFO  : Vérification de la table de routage de fonction terminée le >S< à >S<.
0430,FATAL - L'entrée de table de routage de fonction ">L<" est formatée incorrectement.
