*
* THIS FILE IS USED FOR TEXT MESSAGES USED DURING THE EXECUTION OF THE
* Visual LANSA PRODUCT. ALL LINES MUST BE OF THE FORM NNNN,<TEXT> UNLESS
* THEY HAVE AN "*" IN COLUMN 1 (THIS INDICATES A COMMENT LINE). THE COMPLETE
* TRANSLATION SHOULD FIT ON ONE LINE AND NOT EXCEED 256 BYTES IN LENGTH.
*
* DO NOT DUPLICATE OR CHANGE THE NNNN, (IE: NUMBER) PORTION OF ANY LINE.
* THE NUMBERS ASSIGNED DO NOT HAVE TO BE IN ORDER. NUMBERS ARE ASSIGNED
* ONLY BY ASPECT COMPUTING PTY LTD. NEW NUMBERS MAY BE ADDED FROM RELEASE
* TO RELEASE. COMMENT LINES SHOULD NOT BE TRANSLATED.
*
* THE VALUES >S<, >D<, >C< AND >L< INDICATE SUBSTITUTION AREAS IN THE MESSAGE.
* THESE MAY BE MOVED, BUT THEIR RELATIVE ORDER MUST NOT BE CHANGED WHEN THERE
* ARE MULTIPLE SUBSTITUTIONS IN THE SAME LINE.
*
* GENERALLY VALUES SURROUNDED BY DOUBLE QUOTES (EG "time()") REFER TO OPERATING
* SYSTEM FUNCTIONS THAT CANNOT BE TRANSLATED BECAUSE THEY ARE THE SAME IN ALL LANGUAGES.
*
*
*
*
*
* *******************************************************************************
* TEXT USED FOR BUTTONS, ETC. KEEP SHORT AND PRECISE - TRANSLATION IS RECOMMENDED
* *******************************************************************************
0348,OK
0352,ｼﾞｮﾌﾞ待ち行列の保留
0356,ｼﾞｮﾌﾞ待ち行列の解放
0361,ｼﾞｮﾌﾞ待ち行列の終了
0364,ｼﾞｮﾌﾞ待ち行列の実行 (>S<)
0545,ﾌﾟﾛｾｽ 結果/状態 ﾛｸﾞ
0718,ﾊﾞｯﾁ ｼﾞｮﾌﾞ >S< (>S<.>S<.>S< >S< >S<)
* ************************************************************
* MESSAGES USED BY START UP LOGIC - TRANSLATION IS RECOMMENDED
* ************************************************************
0001,X_RUN ｺﾏﾝﾄﾞにはｼｽﾃﾑ区画名が必要です。ﾌﾟﾛﾌｨｰﾙ･ﾌｧｲﾙに指定することはできません。
0002,言語ｺｰﾄﾞ (LANG=)、ﾌﾟﾛｾｽ名 (PROC=) もしくはﾌｫｰﾑ名 (FORM=)、ﾃﾞｰﾀﾍﾞｰｽ / ｿｰｽ ID (DBID=) およびﾕｰｻﾞｰ ﾌﾟﾛﾌｧｲﾙ (USER=)が指定されていなければなりません。
0991,ﾌﾟﾛｾｽ名 (PROC=), ｺﾝﾎﾟｰﾈﾝﾄ名 (FORM=) を指定してください。
0003,LDA ﾌｧｲﾙ名が正しくありません。
0004,ﾌﾟﾛｾｽ･ﾊﾟﾗﾒｰﾀｰ･ﾌｧｲﾙ名が正しくありません。
0005,ﾌﾟﾛﾌｨｰﾙ･ﾌｧｲﾙ >S< 読み込み中にｴﾗｰが発生しました。
0006,ﾌﾟﾛﾌｨｰﾙ･ﾌｧｲﾙ >S< ｸﾛｰｽﾞ中にｴﾗｰが発生しました。
0007,ﾊﾟﾗﾒｰﾀｰ '>S<' が短すぎます。
0008,>S< はｼｽﾃﾑ日付様式として正しくありません。
0009,>S< は無効なﾊﾟﾗﾒｰﾀｰです。
1132,>S< はMSI ｺﾏﾝﾄﾞﾗｲﾝ用に予約されたﾊﾟﾗﾒｰﾀｰです。
1135,>S< はﾊﾟﾗﾒｰﾀｰ >S< の無効な値です。
0278,ﾊﾟﾗﾒｰﾀｰ DBID=>S< と DBII=>S< が矛盾しています。 使用できるﾃﾞｰﾀﾍﾞｰｽは、SQL/DB2 ｽﾀｲﾙのﾃﾞｰﾀﾍﾞｰｽのみです。
0279,ｻｰﾊﾞｰ LU Name >S< への接続時にｴﾗｰが発生しました。ﾒｯｾｰｼﾞ及び PSxx= ﾊﾟﾗﾒｰﾀｰ値を確認してください。
0337,X_RUN ﾊﾟﾗﾒｰﾀｰに HSKC=Y が指定されていますが、ﾌｧｲﾙ >S< を発見/ｵｰﾌﾟﾝ出来ません。
0341,*SYSEXPORT が要求したﾃｰﾌﾞﾙ名 >S< が無効または不明なものです。
0342,ｼｽﾃﾑ･ﾌﾟﾛｾｽ要求 ">S<" が無効または不明なものです。
0350,X_RUN ﾊﾟﾗﾒｰﾀｰ QNAM= が指定されていないか、待ち行列の名前 >S< がﾌｧｲﾙ >S< に正しく定義されていないか、正しいﾃﾞｨﾚｸﾄﾘー中にﾌｧｲﾙ >S< を発見/ｵｰﾌﾟﾝ出来ません。
0351,ｼｸﾞﾅﾙ･ﾌｧｲﾙ >S< へのｱｸｾｽ中にｴﾗｰが発生しました。原因は、QNAM= ﾊﾟﾗﾒｰﾀｰに指定された名前が無効であるか x_jobq.dat ﾌｧｲﾙに指定されたﾊﾟｽ名が無効です。
0353,ｼﾞｮﾌﾞ待ち行列 >S< への保留要求が発行されました。
0354,以前のｼﾞｮﾌﾞ待ち行列 >S< への保留要求が処理されていません。
0355,未処理のｼﾞｮﾌﾞ待ち行列 >S< への解放要求が削除されました。
0357,ｼﾞｮﾌﾞ待ち行列 >S< への解放要求が発行されました。
0358,以前のｼﾞｮﾌﾞ待ち行列 >S< への解放要求が処理されていません。
0359,未処理のｼﾞｮﾌﾞ待ち行列 >S< への保留要求が削除されました。
0360,未処理のｼﾞｮﾌﾞ待ち行列 >S< への終了要求が削除されました。
0362,ｼﾞｮﾌﾞ待ち行列 >S< を通してﾌﾟﾛｾｽ終了要求が発行されました。
0363,以前のｼﾞｮﾌﾞ待ち行列 >S< を通してのﾌﾟﾛｾｽ終了要求が処理されていません。
0365,ｼﾞｮﾌﾞ待ち行列ﾌｧｲﾙ >S< のｵｰﾌﾟﾝ/ﾛｯｸができません。QPTH= と/または QNAM= ﾊﾟﾗﾒｰﾀｰ値が間違って指定されているか、別のﾌﾟﾛｾｽが現在ｼﾞｮﾌﾞ待ち行列の処理中です。
0366,待ち行列 >S< からのｼﾞｮﾌﾞ待ち行列の処理が正常終了しました。
0367,待ち行列 >S< からのｼﾞｮﾌﾞ待ち行列の処理が異常終了しました。
0368,ｼﾞｮﾌﾞ待ち行列 >S< (使用ﾃﾞｨﾚｸﾄﾘー >S<)からのｻﾌﾞｼｽﾃﾑ処理が正常に開始されました。
0369,ｼﾞｮﾌﾞ待ち行列が解放されました。
0370,ｼﾞｮﾌﾞ待ち行列が保留されていないために解放できません。
0371,ｼﾞｮﾌﾞ待ち行列は既に保留されています。
0372,ｼﾞｮﾌﾞ待ち行列が保留されました。
0373,ｼﾞｮﾌﾞ >S< が( >S</>S</>S< によって >S< に(時刻 >S<)ｻﾌﾞﾐｯﾄ)開始されました。	>S< に(時刻 >S<)ｻﾌﾞﾐｯﾄ)
0374,ｼﾞｮﾌﾞ >S< が( >S</>S</>S< によって >S< に(時刻 >S<)ｻﾌﾞﾐｯﾄ)終了しました。 >S< に(時刻 >S<)ｻﾌﾞﾐｯﾄ)
0375,ｼﾞｮﾌﾞ >S< が( >S</>S</>S< によって >S< に(時刻 >S<)ｻﾌﾞﾐｯﾄ)がｴﾗｰなしで終了しました。 >S< に(時刻 >S<)ｻﾌﾞﾐｯﾄ)
0395,予期しないｴﾗｰが >S< からの DBMS のﾛｰﾄﾞで発生しました。
0396,ﾃﾞｰﾀﾍﾞｰｽ/ｿｰｽ･ﾀｲﾌﾟ >S< が、DBMS ﾌｧｲﾙ >S< に定義されていないために使用できません。
0399,ﾌﾟﾛｾｽ >S< が Visual LANSA ﾘﾘｰｽ >S< で実行できません。実行する前に再生成及び再ｺﾝﾊﾟｲﾙをしなければなりません。
0599,>S< のﾋﾞﾙﾄﾞ ﾅﾝﾊﾞｰは >L< ですが、>S< のﾋﾞﾙﾄﾞ ﾅﾝﾊﾞｰは >L< です。LANSA の実行環境に不一致があります。LANSA を再導入することをお薦めします。
0600,>S< のﾋﾞﾙﾄﾞ ﾅﾝﾊﾞｰは >L< ですが、>S< はそれ以前のﾋﾞﾙﾄﾞで作成されました。(ﾋﾞﾙﾄﾞ ﾅﾝﾊﾞｰ >L<) このｵﾌﾞｼﾞｪｸﾄを使用するために LANSA の新しいﾊﾞｰｼﾞｮﾝを導入しなければなりません。
0651,LU名 >S< のｻｰﾊﾞｰに自動接続時にｴﾗｰが発生しました。全てのﾒｯｾｰｼﾞと ASxx ﾊﾟﾗﾒｰﾀｰの値を確認して下さい。
0793,ｳｪﾌﾞで実行する前にﾌｧﾝｸｼｮﾝ >S< ﾌﾟﾛｾｽ >S< を再生性/再ｺﾝﾊﾟｲﾙする必要があります。
0986,ﾌｧｲﾙ >S< はﾊﾞｰｼﾞｮﾝ10.7以前で作成されているため、RDMLXﾌｨｰﾙﾄﾞ及び言語の強化を使用するRDMLXｵﾌﾞｼﾞｪｸﾄが使用するために再生成する必要があります。
0828,DBUT=>S< が DBIT=>S< と一緒に使用することができないために ODBA= を有効な値に設定することができませんでした。
* This message is used to handle exceptions. e.g. access violations. The exception is put on the front of the message and the X_ERR.LOG file location is put on the end.
0885,製品の販売元に>S<をできるだけ早く報告してください。その際、ﾌｧｲﾙ >S<と>S<がﾃﾞｨﾚｸﾄﾘ >S< にあることを伝えてください。
1046,LU名">S<"ｻｰﾊﾞｰに全ての必須EPCをｲﾝｽﾄｰﾙされていません。以下のEPCがｻｰﾊﾞｰに必要です：
1047,LU名">S<"ｻｰﾊﾞｰのEPCﾚﾍﾞﾙをﾁｪｯｸすることができません。ｻｰﾊﾞｰとｸﾗｲｱﾝﾄのﾊﾞｰｼﾞｮﾝが同じか、ｸﾗｲｱﾝﾄより高いことを確認してください。
1077,ｼｽﾃﾑは現在初期化中です。後ほど再度お試しください。
1080,LU 名 ">S<" のｻｰﾊﾞｰのﾋﾞﾙﾄﾞ番号を確認できません。ｻｰﾊﾞｰの LANSA のﾊﾞｰｼﾞｮﾝが、ｸﾗｲｱﾝﾄのﾊﾞｰｼﾞｮﾝと同じか高いことを確認してください。
1081,LU 名 ">S<" のｻｰﾊﾞｰは、LANSA のﾊﾞｰｼﾞｮﾝ(ﾋﾞﾙﾄﾞ >L<) がｸﾗｲｱﾝﾄ(ﾋﾞﾙﾄﾞ >L<)よりも古いため、接続できません。ｻｰﾊﾞｰの LANSA をｱｯﾌﾟｸﾞﾚｰﾄﾞするか、別のｻｰﾊﾞｰに接続してください。
1105,ｾｰﾌﾞﾎﾟｲﾝﾄが有効です (DBSP=Y)。ｼﾝｸﾞﾙ ｺﾈｸｼｮﾝ (x_dbmenv.dat USE_SINGLE_CONNECTION=YES) とｻｰﾊﾞｰ ｶｰｿﾙ (ODBC の省略値ではない DBCT または DBCC) を使わなければなりません。
1106,ｾｰﾌﾞﾎﾟｲﾝﾄが無効です (DBSP=Y)。省略値の結果ｾｯﾄ (ODBC の省略値と同じ DBCT または DBCC) とｼﾝｸﾞﾙ ｺﾈｸｼｮﾝ (x_dbmenv.dat USE_SINGLE_CONNECTION=YES) の両方を使ってはいけません。
1116,致命的なｴﾗｰが発生しました。Webﾍﾟｰｼﾞ生成は中断されます。
1140,LU名">S<"のｻｰﾊﾞｰからﾃﾞｨﾚｸﾄﾘを取り出せません。
* *******************************************************************************
* MESSAGES USED BY X_PDF (PLATFORM DEPENDENT FUNCTIONS) - TRANSLATION IS OPTIONAL
* *******************************************************************************
